isim,enlem,boylam,osm_id
Ankara Bilkent Şehir Hastanesi,39.9007383,32.7570535,724710677
Güven Hastanesi,39.9045038,32.8545724,741763006
Hacettepe Üniversitesi Hastanesi,39.9312815,32.8639524,875361613
Beştepe Aile Sağlığı Merkezi,39.9225984,32.8059329,897121001
Pursaklar Devlet Hastanesi,40.049532,32.8940968,1005231512
Yüksek Güvenlikli Adli Psikiyatri Hastanesi,39.9028354,32.7635992,1099315325
Medikal Gözlem Kliniği,39.8962236,32.753625,1099317629
Yeni Batı 2 Aile Sağlığı Merkezi,39.9832711,32.6599008,1111722167
Gazi Üniversitesi Hastanesi,39.8708164,32.6652824,1126118499
VM Medical Park Keçiören Hastanesi,39.9753784,32.8678498,1190327294
Fizik Tedavi ve Rehabilitasyon Hastanesi,39.8991791,32.7622257,1232848835
Tepebaşı Ağız ve Diş Sağlığı Eğitim Araştırma Hastanesi,39.9846417,32.8650568,1282374141
erdoğan şahinoğlu asm,39.8799432,32.8002666,1303299842
T.C Sağlık Bakanlığı (Pursaklar Ağız ve Diş Sağlığı Merkezi),40.0461277,32.9096653,1304649689
Bilinmeyen Hospital,39.885496,32.6986256,1380835762
Fizik Tedavi ve Rehabilitasyon Hastanesi,39.964659,32.8226394,12268479
