isim,enlem,boylam,osm_id
Erbil Eczanesi,40.0070103,32.855337,4075161288
Yeni Yeşim Eczanesi,40.0072986,32.8609645,4075273784
Akoğlu Eğin Eczanesi,40.0073036,32.8612968,4075273787
Alpnur Eczanesi,39.999639,32.8580498,4076249173
Güler Eczanesi,39.9995621,32.8571975,4076249191
Oya Eczanesi,39.9994959,32.8568379,4076249192
Sanatoryum Eczanesi,39.9990902,32.8566748,4076249200
Kardelen Eczanesi,39.9989933,32.8566768,4076249201
Yeni Asya Eczanesi,40.0004969,32.8632067,4076349309
Şeyma Eczanesi,39.9916472,32.859893,4076436751
Demetkent Ersan Eczanesi,39.9704228,32.799135,4076810388
Yeni İstanbul Eczanesi,39.9994573,32.8682748,4077691025
Yeni Öner Eczanesi,39.9997954,32.870046,4077691078
Kaynak Eczanesi,40.000019,32.8712065,4077691080
Özdoğan Eczanesi,40.0023226,32.8730938,4077713485
Peri Eczanesi,40.0024729,32.8731709,4077713493
Sarıkatipoğlu Eczanesi,40.0026035,32.8735328,4077713498
Yeni Ankara Eczanesi,39.9936756,32.8734834,4078116509
Yeni Mine Eczanesi,39.9932194,32.8734635,4078116574
Işılım Eczanesi,39.9942226,32.8738609,4078116575
Selcen Eczanesi,39.9942226,32.8739626,4078116576
Büyük Başkent Eczanesi,39.994225,32.8740766,4078116577
Gülümse Eczanesi,39.99397,32.8739811,4078116578
Dostlar Eczanesi,39.9933988,32.8744186,4078116614
Gülhan Eczanesi,39.9938114,32.8641804,4078238577
Orçan Eczanesi,39.9906863,32.8722277,4078238706
Kuyubaşı Eczanesi,39.9909951,32.874876,4078289216
Şifa Eczanesi,39.9860998,32.8811952,4078311962
Cansu Eczanesi,39.9846088,32.8806748,4078312243
Ünal Eczanesi,40.0022657,32.8653056,4079998718
Yunuscan Eczanesi,40.0033563,32.8711296,4081123872
Martı Eczanesi,40.0039543,32.8718,4081123881
Şenbabacan Eczanesi,40.0040342,32.8719656,4081123882
Uğurhan Eczanesi,40.0132345,32.8697843,4081667234
Seher - Naz Eczanesi,40.013481,32.8696261,4081699643
Yeni Poyraz Eczanesi,40.0093645,32.8744774,4081700123
Armağan Eczanesi,40.0091284,32.8743583,4081700124
Aktepe Eczanesi,40.0003621,32.8786758,4081700178
Danişment Eczanesi,39.9835733,32.8544918,4082371626
Menekşe Eczanesi,39.9839118,32.8540631,4082371627
Oltulu Eczanesi,39.9840639,32.8540872,4082371629
Şahinler Eczanesi,39.9845122,32.8566055,4082371640
Aydın Eczanesi,39.9791769,32.8471302,4082371641
Bahar Eczanesi,39.9722019,32.8397114,4082371643
Yetişir Eczanesi,39.9711615,32.8340609,4082380111
Yeni Cengiz Eczanesi,39.9737927,32.8290372,4082380112
Ersan Eczanesi,39.9741752,32.827244,4082380114
Sıla Eczanesi,40.0173872,32.8579731,4082565280
Osmangazi Eczanesi,40.0157954,32.8607231,4082565285
Deniz Kaya Eczanesi,40.015744,32.8611147,4082566290
Ufuktepe Eczanesi,40.0132549,32.857493,4082566301
Tanyeri Eczanesi,40.0140525,32.8567752,4082566302
Seval Denlikol Eczanesi,40.0121105,32.8525415,4082566308
Anıl Eczanesi,40.0124598,32.852263,4082566309
Kanuni Eczanesi,40.0262732,32.859948,4082683069
Ekmel Eczanesi,40.0263995,32.860538,4082683074
Ovacık Yeni Hayat Eczanesi,40.0086198,32.8322008,4082683112
Ayyıldız Eczanesi,40.0266431,32.8884483,4082742793
Uzman Eczanesi,40.0267976,32.8885332,4082742794
Yakamoz Eczanesi,40.0268829,32.8885828,4082742795
Pursaklar Fatih Eczanesi,40.0415684,32.9081055,4082892721
Badıllı Eczanesi,40.0429464,32.8988521,4082913765
Pursaklar Şifa Eczanesi,40.0428141,32.8992829,4082913778
Yüksel Eczanesi,40.0427002,32.8991928,4082913779
Emir Eczanesi,40.0430688,32.9004372,4082968002
Nur Seda Eczanesi,40.0429517,32.9067893,4082990968
Nil Eczanesi,39.9935115,32.8323844,4084478408
İdeal Yaşam Eczanesi,39.9939524,32.8332477,4084478423
Berrak Sağlık Eczanesi,39.9911452,32.8324399,4084555699
Esertepe Eczanesi,39.9919528,32.8326062,4084555704
Başak Filiz Eczanesi,39.9881556,32.8186928,4084555714
İlkbahar Eczanesi,39.9869077,32.819572,4084555723
Saadet Eczanesi,39.9816429,32.8299413,4084557729
Yeni Özer Eczanesi,39.9829299,32.8568626,4084610794
Hilal Eczanesi,39.98253,32.8580121,4084610795
Dalgıç Eczanesi,39.9822443,32.8591509,4084610820
Gökkaya Eczanesi,39.9790459,32.8590876,4084613793
Yeni Ozan Eczanesi,39.9695982,32.8564855,4084863430
Hasret Eczanesi,39.9705211,32.8533256,4084863435
Esmertaş Eczanesi,39.9706384,32.875638,4084863457
Ersin Eczanesi,39.9717036,32.8849514,4084863503
