isim,enlem,boylam,osm_id
Cuma Pazarı (Semt Pazarı),39.9647367,32.7856422,429940033
Semt Pazarı,39.9907175,32.7058741,430532239
ODC Center,39.8911711,32.8075085,436479104
İlker Pazar Yeri,39.8746352,32.8405956,443137378
Balgat Pazaryeri,39.9057271,32.8176175,443174833
One Tower AVM,39.849592,32.8352212,466744303
Bilinmeyen Avm,39.9043487,32.8151831,471137378
Küçükmesa Semt Pazarı,39.9617053,32.6981947,525705784
Beytepe Alışveriş Merkezi,39.8684984,32.7319605,544164472
Baby Mall,39.9463704,32.7671435,582428623
Aşıkpaşa Pazar Yeri,39.9072948,32.8848168,648240513
Pazar Yeri,39.930612,32.8718449,675014958
Nişantaşı AVM,39.8773032,32.8630792,680667901
Bilinmeyen Avm,39.8778486,32.8630148,680667902
Atakule AVM,39.8861064,32.8561143,681425145
Bilinmeyen Avm,39.8887579,32.8867351,682679406
Ayrancı Pazarı,39.9025029,32.8455058,697252700
Onur Çarşısı,39.9225158,32.8513141,698960805
Bilinmeyen Avm,39.9405233,32.8581406,734359532
Bilinmeyen Avm,39.9338991,32.6542601,761922156
Ulus Şehir Çarşısı,39.9423376,32.8556262,783229341
Galleria Ankara,39.8951998,32.7042105,840423352
Asmabahçe Konutları Çarşı,39.8861222,32.682755,863247227
Perşembe Pazarı,40.0042004,32.8054364,881259069
Ali Ersoy Mahallesi Kapalı Semt Pazarı,39.9690835,32.9002636,881657846
Bilinmeyen Avm,39.8754271,32.6518557,909391281
Mamak AVM,39.9142282,32.9477065,991748686
Forum Ankara Alışveriş Merkezi,40.0173031,32.8234337,1007476424
Hamesa Cadde,39.9813519,32.8222872,1054870901
Demetevler Pazaryeri,39.9546282,32.7872729,1065347944
Gimat Gross,39.9604166,32.767702,1092567781
Bilinmeyen Avm,40.0118116,32.8411712,1093428052
Ankara Büyükşehir Belediyesi Toptancı Hali,39.9516664,32.826528,1104511688
Pazar Yeri,39.9411736,32.8414234,1106582315
Gerçek İstanbul Sosyete Pazarı,39.9060843,32.7014353,1124764502
Konutkent I Sitesi Çarşısı,39.8795504,32.6641345,1126198868
Koru Sitesi Çarşısı,39.8905683,32.6812226,1134731547
Ergazi Pazar Yeri,39.9576648,32.7105121,1146816904
İncirli Semt Pazarı,39.9799697,32.8391331,1159764417
Bilinmeyen Avm,39.9497147,32.8440986,1167080965
Ametist Park,39.8704308,32.7052887,1191577346
Bilinmeyen Avm,39.984613,32.8640802,1212832147
