isim,enlem,boylam
Şehit Haydar Çetin Anadolu Lisesi,40.0047016,32.5970385
Batı Koleji,39.9606056,32.7257735
İsimsiz,39.9598928,32.7254432
Yunus Emre Mesleki Teknik Anadolu Lisesi ve Uygulama Anaokulu,39.9856177,32.8087773
Mehmet Rüştü Uzel Lisesi,39.935709,32.8181036
Mimar Sinan Teknik Lisesi,39.9372436,32.8192523
Gazi Mesleki ve Teknik Anadolu Lisesi,39.9387185,32.8166811
İsimsiz,39.9364551,32.8204947
Şehit Ömer Halisdemir Anadolu İmam Hatip Lisesi,39.9785064,32.7593973
Batıkent Şehit Demet Sezen Kız Anadolu İmam Hatip Lisesi,39.9669633,32.710969
Açı Ankara Koleji,39.9612165,32.776549
Şehit Süleyman Can İlkokulu,39.9557542,32.80181
Buse Bilim Koleji,39.9557716,32.8026888
Faruk Verimer İlkokulu,39.9857005,32.809541
Şehit Harun Parlak İlkokulu,39.9652367,32.7845121
Bahçeşehir Koleji Batıkent Kampüsü,39.9913787,32.6604139
Şehit Abdullah Tayyip Olçok Anadolu Lisesi,39.9700001,32.7681268
İsimsiz,40.0020983,32.6009126
İsimsiz,40.0023401,32.6003139
Aselsan Mesleki Teknik Ve Anadolu Lisesi,39.9686179,32.7027703
İsimsiz,39.9808408,32.7841674
Ankara Mesleki Ve Teknik Anadolu Lisesi,40.0070873,32.7729157
Şehit Mahmut Uslu İlkokulu,40.0020147,32.600865
Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi,39.9872193,32.7374854
İsimsiz,39.9872109,32.737261
Ostim OSB Teknik Koleji,39.9821453,32.7369383
